ID	Pop	FT_2020	FT_2021	Cold_Day_1	Cold_Day_2	Cold_Day_3	Cold_Day_4	Cold_Day_5	Room_Day_1	Room_Day_2	Room_Day_3	Room_Day_4	Room_Day_5	Cold_Day_1.Ro	Cold_Day_2.Ro	Cold_Day_3.Ro	Cold_Day_4.Ro	Cold_Day_5.Ro	cold_dec	room_dec
Ames22031Am22028	Hybrid	56	53.5	16.95	15.35	19.75	16.45	16.7	17.95	13.9	17.95	17	16.1	0.944289694	1.104316547	1.100278552	0.967647059	1.037267081	0.014749263	0.103064067
Ames22640Am22634	Hybrid	50.5	50	16.7	16.65	16.25	16.75	16.5	14.65	16.85	16.9	17.1	17.35	1.139931741	0.988130564	0.961538462	0.979532164	0.951008646	0.011976048	-0.184300341
Ames22025Am22023	Hybrid	52	54.5	15.85	15.8	15.15	13.75	12.85	14.7	14.55	15.9	11.75	11.05	1.078231293	1.085910653	0.952830189	1.170212766	1.162895928	0.189274448	0.24829932
Ames22023Am22033	Hybrid	71.5	57	13.65	14.25	17.6	14.45	14.4	14.35	13.8	16.5	14.5	12.75	0.951219512	1.032608696	1.066666667	0.996551724	1.129411765	-0.054945055	0.111498258
PI644100	Inbred	50	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22049Am22634	Hybrid	46.5	48.5	13.5	13.3	13.05	12.9	12.75	13.35	13.1	16.85	15.8	15.15	1.011235955	1.015267176	0.774480712	0.816455696	0.841584158	0.055555556	-0.134831461
NSL8582	Inbred	50.5	57.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames27447	Inbred	61.5	59.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22027Am22023	Hybrid	53.5	57	14.55	15.3	18.95	13.55	12.75	15.2	16.05	18.8	15.35	13.55	0.957236842	0.953271028	1.007978723	0.882736156	0.94095941	0.12371134	0.108552632
PI644099	Inbred	49.5	57.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI358537	Inbred	57.5	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22063Am22064	Hybrid	52	54.5	20.55	22.5	21.15	21.25	21.15	20.35	22.4	21.55	21.4	21.1	1.00982801	1.004464286	0.981438515	0.992990654	1.002369668	-0.02919708	-0.036855037
Ames22634Am22640	Hybrid	46	54	15.5	14.25	13.45	13.95	14.5	14.85	16.85	16.85	17.05	16.7	1.043771044	0.845697329	0.798219585	0.818181818	0.868263473	0.064516129	-0.124579125
Ames22059Am22063	Hybrid	56.5	54.5	17.7	16.25	15	15.75	18.9	16.65	13.95	19.05	14.65	14.4	1.063063063	1.164874552	0.787401575	1.075085324	1.3125	-0.06779661	0.135135135
Ames22059Am22065	Hybrid	55.5	55.5	18.2	17.3	18.9	17.25	17.85	17.6	16.75	19.55	19.25	17.2	1.034090909	1.032835821	0.966751918	0.896103896	1.037790698	0.019230769	0.022727273
Ames22023Am22027	Hybrid	53	54.5	15.3	15.45	17.2	13.75	12.7	12.3	12.8	17.15	11.75	10.9	1.243902439	1.20703125	1.002915452	1.170212766	1.165137615	0.169934641	0.113821138
Ames22051	Inbred	56	56.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames26815	Inbred	46.5	49	16.25	15.2	12.15	15.3	16.65	16.15	13.9	10.9	12.05	11.1	1.00619195	1.09352518	1.114678899	1.269709544	1.5	-0.024615385	0.312693498
Ames22023Am22064	Hybrid	51	59.5	16.8	17.2	24.05	19.05	18.35	20.95	21.45	21.8	18.5	18.3	0.801909308	0.801864802	1.103211009	1.02972973	1.00273224	-0.092261905	0.126491647
Ames28439Am28369	Hybrid	50.5	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22059Am27446	Hybrid	50.5	61.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22056	Inbred	49.5	54.5	13.4	13.35	13.2	14.4	15.9	13.45	8.65	8.1	8.25	8.65	0.996282528	1.543352601	1.62962963	1.745454545	1.838150289	-0.186567164	0.356877323
Ames22027Am22064	Hybrid	48.5	59	13.1	12.8	16.4	15.05	14.35	16.25	16.5	23.25	19.25	17.95	0.806153846	0.775757576	0.705376344	0.781818182	0.799442897	-0.095419847	-0.104615385
Ames2206622064	Hybrid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames2206622064	Hybrid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22023Am22062	Hybrid	50.5	59.5	13.35	11.95	13.4	12.45	11.5	15.15	15.5	19.05	15.95	12.4	0.881188119	0.770967742	0.703412073	0.780564263	0.927419355	0.138576779	0.181518152
Ames22040Am22066	Hybrid	57.5	57	15.15	15.3	12.3	15.95	15.4	16.75	16.3	14.6	14.5	13.85	0.904477612	0.938650307	0.842465753	1.1	1.111913357	-0.01650165	0.173134328
PI177589PI231297	Hybrid	70	49	15.6	13.8	11	9.6	11.3	14.6	15.7	16.9	16.85	18.5	1.068493151	0.878980892	0.650887574	0.569732938	0.610810811	0.275641026	-0.267123288
PI177589PI183752	Hybrid	49.5	54	18.15	18.15	16.6	13.35	16.2	18.35	18.15	17.55	17.2	16.8	0.989100817	1	0.945868946	0.776162791	0.964285714	0.107438017	0.084468665
NSL5637Ames28439	Hybrid	54	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22066Am22055	Hybrid	55.5	48.5	15.45	15.25	14.3	14.2	13.8	16.65	17.95	18.45	18.35	18	0.927927928	0.849582173	0.775067751	0.773841962	0.766666667	0.106796117	-0.081081081
Ames22028Am22027	Hybrid	62	54.5	16.3	17.35	23.45	19.05	18.45	21.65	20.85	18.5	17.45	15.9	0.752886836	0.832134293	1.267567568	1.091690544	1.160377358	-0.13190184	0.265588915
Ames22041Am22064	Hybrid	47	49	17.4	14.6	20	16.05	15.35	19.25	21.85	25.95	25.8	25.9	0.903896104	0.66819222	0.770712909	0.622093023	0.592664093	0.117816092	-0.345454545
Ames22036Am22065	Hybrid	46.5	49	15.85	17.15	11.7	13.45	13.6	15.9	15.25	19.65	18.7	18.45	0.996855346	1.124590164	0.595419847	0.719251337	0.737127371	0.141955836	-0.160377358
