id	X20KW	CL	CW	CD
33-16	5.12037535244215	12.1958369191417	13.1445256735557	23.2844480261907
38-11Goodman-Buckler	4.36001806740822	12.8535137352671	14.1579837146481	21.9848186102642
4226	4.09739226919703	12.560983696321	13.6583678380564	22.7025638344495
4722	3.96513137240662	11.91463886588	12.4397684016972	20.4044549443586
A188	4.76252095963268	10.4103277315582	10.4836011837237	22.0431385773314
A214NGoodman-Buckler	5.25410003490586	12.9490725477774	11.3614102116308	18.8684985463161
A239	5.1444152359273	11.2979460489271	11.6403134267727	21.4230609036574
A441-5	NA	NA	NA	NA
A554	4.19619437348728	9.50790970894538	10.4995187712633	21.1736398303181
A556	4.80271518018902	10.5866302171262	13.1043071927094	22.9713539905755
A619	3.73471374376867	10.7874121343948	10.4214157206015	24.2762129917619
A632	4.66809664877859	11.9000028615387	12.1077021985199	22.4267958490822
A634	5.47264553446423	10.9134772326122	11.6405366300882	21.8771955025751
A635	3.97398120900035	11.7213657264845	10.0047689856597	20.2089952172181
A641	NA	11.5075650085691	NA	NA
A654	4.13378093217903	11.4937882926551	12.754016052993	21.9302067189699
A659	5.20929442536254	11.3341770179104	14.6717312594898	26.112626257912
A661	4.57912972178037	10.5531893548575	14.1917561393136	21.5326448273025
A679	4.41831254234096	11.9074640763789	13.2084606263897	23.5232710771686
A680	4.45857300800281	12.6491816478412	14.6470835706306	23.1746165211342
A682	5.21735530226884	13.5576910299019	12.07087356951	20.5931139583815
B103	4.8732980074659	12.1081096540911	11.7985212097125	21.6730547239974
B104	4.93363968922162	11.7370548100259	14.2673833315085	25.2929682706033
B105	4.40854947253015	12.3519989113909	14.5004638483372	24.2238131428612
B109	4.7356178496855	12.2765139744679	13.7521134367861	24.290858413805
B14A	4.80127403140646	13.0974940999559	14.6666486377601	23.2543262532366
B164	4.47324577693299	12.8596061417865	15.0913362757825	21.4352896396298
B2	NA	10.6373993664717	13.8954818906318	22.433690569141
B37	5.00914309846628	11.920916713711	14.392708360993	22.497514163215
B46	5.19598811453203	14.1486361052879	17.669786648017	23.1025787648742
B52	5.03806105169763	12.4538530700279	12.1104506839653	20.9255166082378
B57	5.20444110179123	10.994562550987	14.8379310127371	24.2754208448356
B64	4.66758516564522	12.1689232458154	12.5406000169088	20.1901036528287
B68	4.80022505987014	14.8217222646216	15.7115001178948	22.7284862108895
B73	4.31105823102268	11.0819433250816	13.026063340693	24.9076881598242
B73Htrhm	3.80070117806937	12.0279956413251	12.7516117340877	23.4957649203745
B75	5.07147516958576	10.1945998038005	10.1435086999414	20.0636824319297
B76	5.4759898382346	11.2022736455267	13.4744438944013	24.9587712610542
B77	5.22523300256158	11.7770643987059	10.6573926595829	20.9293884039148
B79	4.95174853019892	10.4929900663435	11.8309293306845	24.3241621586246
B84	4.80843692317383	11.7579582233575	13.4766799391195	24.0565639534902
B97	5.4650185131009	11.2990056519023	12.6947970053986	22.4333100867112
C103	4.47718771593938	13.5760191313851	15.6392326762843	22.9879778299605
C123	4.24638199356212	13.1996355912286	13.1294986833253	22.3197564352988
C49	4.71783739400303	9.81415399627205	10.8622737732109	24.2381042840909
C49A	4.44730310602044	10.486145886271	12.3777788038931	25.8924714279136
CH701-30	4.83757357630505	11.8136232682899	11.5474617264744	19.4532224199955
CH9	5.16265025251269	10.8194280080095	13.9446695241795	24.5999862100416
CI187-2	NA	13.4776092145866	NA	NA
CI31A	4.55376809372088	11.1806413632651	12.2271235301979	21.4020837134145
CI3A	4.50632064770324	8.56790525377212	11.104740921946	23.3135944353935
CI44	NA	9.9760266115161	11.5183233346053	21.4308109350484
CI64	4.81824870883279	11.1387760598428	12.6498829990202	24.2885397210489
CI66	5.14491383129914	9.72302487974159	11.7603432203236	22.4586481539159
CI7Goodman-Buckler	4.96639182672318	11.6643071649368	13.9463035267671	22.7773740495821
CI90C	NA	10.5884878281631	11.6823362790374	21.6163376892361
